Chapter_and_Level,Syntax,Map_Behavior,Game_Example
"Chapter 1, Level 1",player.move_forward(),Player character moves one tile forward in the current facing direction.,"The game world is a 2D grid map. Player starts at a position facing the exit. When student writes `player.move_forward()`, the player sprite visually moves one tile forward. The game state updates the player's position. Student must call this command multiple times to reach the exit. If player tries to move into a wall or obstacle, the game displays an error and the position does not change. Successful completion triggers win animation and level complete message."
"Chapter 1, Level 2",player.turn_left() and player.turn_right(),"Player character rotates 90 degrees left or right, changing facing direction.","Level has a path that requires turning. Player starts facing one direction, must turn to navigate corners. When `player.turn_left()` executes, the player sprite rotates 90 degrees counterclockwise (e.g., from facing East to facing North). No position change, only facing direction updates. Student learns that movement and rotation are separate actions. Multiple turns can be combined with move_forward() to navigate complex paths to the exit."
"Chapter 1, Level 2",player.move_forward(n) - Movement with Arguments,Player character moves forward N tiles in the current facing direction.,"Student needs to move forward 3 tiles. Instead of:
```python
player.move_forward()
player.move_forward()
player.move_forward()
```
They can write:
```python
player.move_forward(3)
```
The game executes 3 forward movements in sequence. If obstacle encountered during multi-tile move, movement stops at the obstacle and error displays. This teaches function parameters and code efficiency."
"Chapter 1, Level 4",player.push(),"Player pushes moveable objects (rocks, boulders) one tile in facing direction.","Level has rocks blocking the path. Game maintains object positions and pushability state. Player must face a rock and call `player.push()`. When executed, game checks if pushable object is in front. If yes and space beyond is empty, object moves one tile forward. Visual animation shows rock sliding. Player position stays same. Now path is clear for movement. If nothing in front or object blocked, error message displays. This teaches environmental manipulation to solve puzzles."
"Chapter 1, Level 5",player.speak(),Displays text message on screen in a speech bubble or text panel; does not affect player position.,"Student writes:
```python
player.speak(""Hello World"")
```
When executed, a speech bubble appears above the player character displaying ""Hello World"". The game interface shows this message in an output panel. Game state includes message history. This teaches string literals and output without using standard print(). It's more engaging for kids - the character ""speaks"" rather than abstract console output. Can be used for debugging (""I am at position 3"") or storytelling during gameplay."
"Chapter 1, Level 6",player.build(object_name),Player constructs specified objects (like bridges) at target location to solve puzzles.,"Level has a gap (river, pit) that blocks progress. Student must build a bridge to cross. Code:
```python
player.move_forward(2)
player.build(""bridge"")
player.move_forward()
```
When `player.build(""bridge"")` executes, game checks if build location is valid. If yes, creates bridge object at specified position, updates map state to mark it passable, shows animation of bridge appearing. Now the previously impassable gap becomes passable. If invalid location or wrong object name, error displays. This teaches: string arguments to specify actions, environmental modification to enable navigation, and resource/construction mechanics."
"Chapter 1, Level Unknown",Level 7 - Apply What You've Learned,,
"Chapter 2, Level 1",player.water(),Player waters crops or plants at the current position or adjacent tiles.,"Level has dry crops marked with X symbols. Student navigates to each crop location and calls `player.water()`. Game state tracks which crops have been watered: `crops = [{""position"": (2,0), ""watered"": False}, ...]`. When student is adjacent to a crop and calls `player.water()`, the crop sprite changes to green/watered, `crops[i][""watered""] = True`, and success animation plays. If no crop nearby, message shows: ""Nothing to water here."" Level completes when all crops watered. This introduces resource-based gameplay where player must use specific actions on specific objects."
"Chapter 2, Level 2",Comments (#),No direct map effect; used to document and explain code logic.,"Level has solution already written in the code editor. To complete, student must make corrections by commenting unnecessary code and uncommenting relevant code. Add or remove the `#` sign (pound). For example:
```python
# player.turn_left()
player.move_forward()
# player.collect()
player.move_forward()
```
Student must determine which lines should run and which should be commented out. When code executes, commented lines are skipped (shown in gray), active lines execute normally. If student comments a required command, player fails to reach exit, teaching that `#` disables code. If student uncomments wrong command, player hits wall. This teaches: comments control which code runs, useful for testing different solutions and documenting logic."
"Chapter 2, Level 3",player.collect(resource_name),Player collects specific resources by name from the environment.,"Level has a water supply and empty canteen. Student's canteen is empty and needs water to fill up. To collect water from water supply:
```python
player.move_forward(2)  # Navigate to water source
player.collect(""water"")  # Fill canteen
```
The string ""water"" must be written exactly as shown. Game state tracks `inventory = {""water"": 0}` and water source location. When student faces water source and calls `player.collect(""water"")`, water amount increments: `inventory[""water""] += 1`, canteen icon fills up, collection sound plays. Student then uses water() on crops. If wrong resource name or spelling: error ""Cannot collect 'watr' - resource not found."" This teaches: string arguments specify what to collect, spelling and quotes matter, functions can work together (collect water, then water crops)."
